node_id,latitude,longitude,elevation
0,14.6232352,121.0886608,15.83505357142905
1,14.6239463,121.0886152,15.83505357142905
2,14.6359034,121.0944179,21.071157142857306
3,14.6357803,121.0944094,21.071157142857306
4,14.6224233,121.0907535,15.322071428572102
5,14.6224156,121.0927563,15.322071428572102
6,14.6242118,121.0899136,15.940900000000305
7,14.6233154,121.0905312,15.940900000000305
8,14.621519,121.0939756,15.056853571428611
9,14.6222416,121.0968185,15.056853571428611
10,14.6242962,121.085478,15.88660000000067
11,14.6231746,121.085851,15.88660000000067
12,14.6233342,121.0928284,15.716637142857678
13,14.6237811,121.0928207,16.031028571428493
14,14.6246354,121.0955494,16.031028571428493
15,14.621238,121.0947165,15.143853706472946
16,14.6228908,121.0947392,15.143853706472946
17,14.6237936,121.0937425,15.817535714286265
18,14.6233549,121.0937604,15.817535714286265
19,14.6235988,121.0852214,15.93706428571392
20,14.6241513,121.0850974,15.93706428571392
21,14.6228057,121.0866434,15.47116190476234
22,14.6227404,121.088693,15.47116190476234
23,14.6212347,121.0955388,14.914200955672072
24,14.6218089,121.0970103,14.914200955672072
25,14.6250517,121.0849353,16.269031428571356
26,14.6243214,121.0853869,16.269031428571356
27,14.6239013,121.0867341,15.634634285714544
28,14.6243801,121.0886162,16.21698571428601
29,14.6246325,121.0893957,16.21698571428601
30,14.6241044,121.089677,15.820867857142762
31,14.623282,121.0899291,15.820867857142762
32,14.6239486,121.0903141,15.913652380953165
33,14.6324728,121.0952062,19.679914285714233
34,14.632707,121.0966452,19.679914285714233
35,14.6269394,121.0817458,16.966685714286083
36,14.6252848,121.0833696,16.966685714286083
37,14.625465,121.0886126,16.113190756302068
38,14.6242784,121.0931373,16.113190756302068
39,14.6367361,121.0935368,21.709766917293308
40,14.6541832,121.1161517,28.714214285715183
41,14.653316,121.1187641,28.714214285715183
42,14.6519124,121.122867,27.87270526315782
43,14.6512302,121.1174379,27.87270526315782
44,14.6534206,121.0949551,26.40615758928573
45,14.6366433,121.0933005,26.40615758928573
46,14.6239757,121.0960739,17.25098246753293
47,14.6302364,121.0973001,17.25098246753293
48,14.6513036,121.1122142,27.80487922077909
49,14.6517266,121.113563,27.80487922077909
50,14.6302999,121.0955582,18.862171428571195
51,14.6311748,121.0951854,18.862171428571195
52,14.6407293,121.1035647,23.47889090909093
53,14.6421136,121.1004577,23.47889090909093
54,14.6442279,121.1170274,24.88964285714285
55,14.6452571,121.1167166,24.88964285714285
56,14.6367188,121.0973377,21.694807142857705
57,14.6378399,121.0974293,21.694807142857705
58,14.6367994,121.1017032,21.214981428571853
59,14.6355146,121.1018255,21.214981428571853
60,14.6508931,121.1045976,26.020552380952612
61,14.6509103,121.1083208,27.566174285714332
62,14.651077,121.1091252,27.566174285714332
63,14.6504111,121.1170911,27.92019243697463
64,14.6430946,121.1168964,23.32971428571454
65,14.638945,121.115841,23.32971428571454
66,14.6508955,121.103714,24.063144897959127
67,14.637735,121.0979197,24.063144897959127
68,14.6406158,121.1169491,24.02221098901098
69,14.6450849,121.1119728,24.782171428571893
70,14.6435355,121.11113,24.782171428571893
71,14.6576043,121.1085831,30.818223376623244
72,14.6595271,121.1085918,30.818223376623244
73,14.6618808,121.1093829,32.25228571428611
74,14.6619632,121.1088581,32.25228571428611
75,14.642248,121.1022817,23.893085714285387
76,14.6428012,121.1011362,23.893085714285387
77,14.6620441,121.1084381,32.548851785714575
78,14.6630377,121.1061922,32.548851785714575
79,14.6468449,121.1018375,25.626099999999848
80,14.6460948,121.1035233,25.626099999999848
81,14.6227495,121.0975583,15.638301785714237
82,14.6239154,121.0970774,15.638301785714237
83,14.6243966,121.1022862,16.29023246753234
84,14.6248901,121.098257,16.29023246753234
85,14.6508577,121.1047768,28.009442857142922
86,14.6526468,121.1047661,28.009442857142922
87,14.6597636,121.1084625,31.623785714286385
88,14.6651532,121.1068668,32.59414285714345
89,14.6600902,121.1048707,32.59414285714345
90,14.6331344,121.0986045,20.04025000000039
91,14.6336796,121.0985384,20.04025000000039
92,14.6298553,121.0962086,18.576485714285973
93,14.6239638,121.084858,16.021485714285518
94,14.6242042,121.0847638,16.16957857142858
95,14.6242749,121.0862594,16.16957857142858
96,14.6219967,121.0922224,15.047316351583504
97,14.6215574,121.0922189,15.047316351583504
98,14.6219926,121.0917127,15.045800210329817
99,14.6215545,121.0917381,15.045800210329817
100,14.623473,121.0962966,15.616797142857703
101,14.6226251,121.096656,15.616797142857703
102,14.6233802,121.0886572,15.710574999999885
103,14.6233194,121.0866717,15.710574999999885
104,14.621988,121.0904858,15.054763144035519
105,14.6216671,121.09051,15.054763144035519
106,14.6214597,121.1049595,14.819493877550869
107,14.6209384,121.1024935,14.819493877550869
108,14.6280794,121.098919,17.555257142857556
109,14.6271969,121.0990049,17.555257142857556
110,14.6272891,121.0970132,17.385575324675052
111,14.6219538,121.0892473,15.124298521798341
112,14.6219596,121.0893143,15.124298521798341
113,14.6219776,121.090122,15.071745047254014
114,14.6217424,121.0901187,15.071745047254014
115,14.6296114,121.0824043,18.970926785714756
116,14.6322378,121.0831145,18.970926785714756
117,14.6370913,121.1004969,21.537335714285852
118,14.6373458,121.0994174,21.28942380952474
119,14.6355037,121.0992933,21.28942380952474
120,14.6338014,121.101763,19.737348571428647
121,14.6314827,121.1016229,19.737348571428647
122,14.6507671,121.1118926,26.586893469388524
123,14.6463581,121.1127049,26.586893469388524
124,14.6403024,121.1033659,23.09063571428603
125,14.6244696,121.0843011,16.301800000000235
126,14.6249388,121.0838037,16.301800000000235
127,14.6358667,121.0943207,21.09359285714256
128,14.6242466,121.0845888,16.146185714286162
129,14.6244316,121.0844782,16.146185714286162
130,14.6252874,121.0832715,16.495396428571482
131,14.6250434,121.0830419,16.495396428571482
132,14.6244455,121.0830597,16.339891428571597
133,14.6228332,121.0927813,15.612700000000338
134,14.6515927,121.113376,27.568380952380867
135,14.6502872,121.1149316,27.568380952380867
136,14.6250508,121.097866,16.04913142857096
137,14.6591338,121.1164082,31.507952380952148
138,14.6611973,121.1163382,31.507952380952148
139,14.6571819,121.1179295,30.217771428571567
140,14.6571699,121.1182617,30.217771428571567
141,14.6540111,121.1196508,28.35880504201669
142,14.6517401,121.120164,28.35880504201669
143,14.6538062,121.1174934,28.89779285714298
144,14.6543835,121.1176975,28.89779285714298
145,14.6334046,121.0995221,19.91087142857157
146,14.6328425,121.0996045,19.91087142857157
147,14.6518364,121.1213741,26.98378095238054
148,14.6482329,121.1198328,26.98378095238054
149,14.6548309,121.1207139,28.639977678571718
150,14.6497171,121.1183775,27.87015663265346
151,14.6490086,121.119049,27.303700000000312
152,14.64869,121.1231204,26.487318012422882
153,14.6491355,121.1248798,26.487318012422882
154,14.6247098,121.0956983,16.16715000000005
155,14.6471843,121.1138622,25.66866142857183
156,14.6461787,121.1164385,25.66866142857183
157,14.6567526,121.1249597,30.609193749999903
158,14.6591947,121.1220655,30.609193749999903
159,14.6586346,121.104814,30.60409285714285
160,14.6575178,121.1045846,30.60409285714285
161,14.6499067,121.1142128,27.05416428571426
162,14.6497033,121.114321,27.05416428571426
163,14.6219984,121.0927321,15.215126530612253
164,14.6489077,121.1232875,27.251328571428186
165,14.6518837,121.1248044,27.251328571428186
166,14.6542977,121.1246904,28.881129999999377
167,14.653996,121.1247491,28.881129999999377
168,14.6591911,121.1185348,30.704401098901332
169,14.6560609,121.1239786,30.704401098901332
170,14.6479071,121.1176194,26.59820952380965
171,14.6494588,121.1182631,26.59820952380965
172,14.6199108,121.0977423,14.243274331687664
173,14.6198911,121.0976458,14.243274331687664
174,14.6495677,121.1214016,27.467521428571516
175,14.6459858,121.1128562,25.999010714285774
176,14.6484325,121.1148985,25.999010714285774
177,14.6519974,121.1228826,28.123835714285494
178,14.6525805,121.1229927,28.123835714285494
179,14.6575048,121.1183061,30.28743571428537
180,14.6505643,121.1128887,26.66873142857123
181,14.6448255,121.1138776,25.16329523809563
182,14.6238512,121.1022343,16.012535714285733
183,14.6241484,121.0991526,16.012535714285733
184,14.6572401,121.112765,30.459614285714693
185,14.6582396,121.1123698,30.459614285714693
186,14.6549226,121.1160025,29.304271428571973
187,14.6549396,121.1178941,29.304271428571973
188,14.6466006,121.1189858,25.336740816326902
189,14.646487,121.1132898,25.27078367346941
190,14.6459248,121.1198725,26.11731020408229
191,14.6485904,121.1169598,26.11731020408229
192,14.6477494,121.1207404,25.63353877551085
193,14.6577458,121.1125644,30.755124999999772
